flowers,fruits,leaves,coreid,accessuri,basisofrecord,class_,continent,country,county,dynamicproperties,eventdate,family,fieldnotes,genus,kingdom,locality,occurrenceremarks,order_,phylum,reproductivecondition,scientificname,specificepithet,stateprovince,geopoint,split,buds,old_flowers,old_fruits,name
U,U,1,540bbbdf-0671-41d3-b9e2-6cb1a0f0b789,https://bisque.cyverse.org/image_service/image/00-dtqUCc4w3CmdxQr4KHajma?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,macon,,1964-06-22,rubiaceae,,houstonia,plantae,"dry clearing on co. rd. 1603 (horse cove) across from col. howe's place, in swampy field near a cultivated pine field.",,gentianales,tracheophyta,,houstonia purpurea,purpurea,north carolina,,train,,U,U,540bbbdf-0671-41d3-b9e2-6cb1a0f0b789.jpg
1,0,1,209803ea-61a5-4cdc-a835-e7a7f4c52cac,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00063/DES00063961_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,la paz,,1941-04-01,ranunculaceae,,delphinium,plantae,harquahala wash.,Herbaceous perennial in flower.,ranunculales,tracheophyta,flowers,delphinium scaposum,scaposum,arizona,"{""lat"": 33.24306, ""lon"": -112.99833}",train,,1,0,209803ea-61a5-4cdc-a835-e7a7f4c52cac.jpg
1,0,1,7611604b-8087-4e9a-81bf-341887183b63,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00059/DES00059020_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,mohave county,,2006-04-18,onagraceae,,oenothera,plantae,"along trout creek about 4 km upstream of divide canyon,",,myrtales,tracheophyta,flower,oenothera albicaulis,albicaulis,arizona,"{""lat"": 35.00033, ""lon"": -113.38998}",train,,1,0,7611604b-8087-4e9a-81bf-341887183b63.jpg
U,U,1,dccf38eb-5a4c-47c4-9d50-6362aa95fb01,http://storage.idigbio.org/portals/seinet/sernec/GSW/201507/00000766-00000_1436202426_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,sumter,,1991-03-23,aristolochiaceae,,hexastylis,plantae,"ca. 2.3 mi. nw of americus, sumter co. beside nature trail, americus plant materials center.","Calyces dull purplish, some darker at base, lying amid leaf litter. Peduncles similarly colored but paler. Lvs dull green above , variegated (light green areas between principal veins), some suffused beneath, with a purplish pigment.",piperales,tracheophyta,,hexastylis arifolia,arifolia,georgia,"{""lat"": 32.09563, ""lon"": -84.25394000000001}",train,,U,U,dccf38eb-5a4c-47c4-9d50-6362aa95fb01.jpg
U,U,1,80d2df1e-242b-4a9d-a594-ff750f1adb9b,http://storage.idigbio.org/mor/aquatic/00066/0066741MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,park,,2008-06-17,cyperaceae,,carex,plantae,"between i-90 exit 343 (mission) and mission creek, ca 8 air mi ne of livingston.",,poales,tracheophyta,Flower: N Fruit: Y Vegetation: Y Bud: N,carex aurea,aurea,montana,"{""lat"": 45.7128, ""lon"": -110.4006}",train,,U,U,80d2df1e-242b-4a9d-a594-ff750f1adb9b.jpg
1,0,1,38a04531-cba8-470f-a2ae-f4f6f2b62c73,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00058/DES00058778_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa county,,2006-09-18,martyniaceae,,proboscidea,plantae,tonto national forest in the bottom of lime creek.,"Herbaceous plant with broad, hairy leaves and stem, leaves opposite, fleshy; flowers reddish-purple.",lamiales,tracheophyta,flowers,proboscidea parviflora,parviflora,arizona,"{""lat"": 33.986806, ""lon"": -111.747}",train,,1,0,38a04531-cba8-470f-a2ae-f4f6f2b62c73.jpg
N,N,N,1ce869d1-7098-4a9c-a637-ae0de67baddf,http://www.pnwherbaria.org/images/jpeg.php?Image=WTU-V-044249.jpg,preservedspecimen,magnoliopsida,north america,united states,king,,1997-04-24,schisandraceae,,illicium,plantae,washington park arboretum.,Red flowers still in bud; small shrub. Evergreen.,austrobaileyales,tracheophyta,buds,illicium floridanum,floridanum,washington,"{""lat"": 47.635945, ""lon"": -122.29465699999999}",train,N,N,N,1ce869d1-7098-4a9c-a637-ae0de67baddf.jpg
U,U,1,ea219997-a14f-4083-9acb-1cc9193f6805,https://api.idigbio.org/v2/media/2e51cbb5b12f6d5776b80f1c49cc7258?size=fullsize,preservedspecimen,,north america,united states,salt lake,,1969-08-25,poaceae,,phleum,plantae,"tuscarora meadow, between mt. tuscarora and sunset peak, west of catherine pass, near alta; little cottonwood canyon, wasatch mountains, southeast of salt lake city.",,poales,magnoliophyta,Flowering,phleum alpinum,alpinum,utah,,train,,U,U,ea219997-a14f-4083-9acb-1cc9193f6805.jpg
0,1,1,a7051bb3-95cf-47cd-af93-0b45130a6122,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0006000/TAC06888.jpg,preservedspecimen,magnoliopsida,north america,united states,erath,,2007-09-27,berberidaceae,,nandina,plantae,"the stephenville museum. 525 east washington street. nature trail. south side of bosque river near the following coordinates: 32.22360n, 98.19935w.",scattered,ranunculales,tracheophyta,fruiting,nandina domestica,domestica,texas,"{""lat"": 32.2236, ""lon"": -98.19935}",train,0,0,1,a7051bb3-95cf-47cd-af93-0b45130a6122.jpg
U,U,1,c6539ee7-20c6-4d41-8503-7c3eff4c1e70,http://mediaphoto.mnhn.fr/media/1441338987131QIsyJ0qntiS9d1db,preservedspecimen,magnoliopsida,africa,madagascar,,,1993-6,loganiaceae,"tree 12 m high, immature fruit green, mature yellow",strychnos,plantae,,,gentianales,tracheophyta,,strychnos madagascariensis poir.,madagascariensis,toamasina,"{""lat"": -15.65833, ""lon"": 49.95833}",train,,U,U,c6539ee7-20c6-4d41-8503-7c3eff4c1e70.jpg
N,N,N,a414948d-f3ee-4be2-b05f-cd2e93bce4b5,http://mediaphoto.mnhn.fr/media/1442345408497lGQtz3EK7Z9H5prk,preservedspecimen,liliopsida,,guyane française,régina,,2004-3-3,cyclanthaceae,"Hémi-épiphyte, hauteur 2 m. Feuille : limbe 49 x 7,5 cm, pétiole 18 cm, apex acuminé. Infrutescence jeune, verte, 23 fruits environ, spadice pendant 3,5 x 1,5 cm, pédoncule 6,5 cm. Fleurs femelles avec deux trous à l'extrémité juste avant l'apex sur le dos du tépale et formant un creux, tépales soudés, stigmates dépassent les tépales, styles peut-être soudés, stigmates bruns en forme de pezise allongée",asplundia,plantae,"réserve des nouragues, station permanente de reche",,pandanales,tracheophyta,,asplundia heteranthera harling,heteranthera,,"{""lat"": 4.05, ""lon"": -52.7}",train,,N,N,a414948d-f3ee-4be2-b05f-cd2e93bce4b5.jpg
1,1,1,ab061e05-0072-4de1-bd32-eccee34622f5,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00077/DES00077916_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,gila county,,1930-09-16,fabaceae,,medicago,plantae,tonto national forest - reynolds creek ranger station (garden),Common name: Clover-Black Medic.,fabales,tracheophyta,fruit,medicago lupulina,lupulina,arizona,"{""lat"": 33.87205, ""lon"": -110.97651}",train,,1,1,ab061e05-0072-4de1-bd32-eccee34622f5.jpg
0,1,1,f6cc0736-8e4d-4b0f-af54-7d4583a33395,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00072/DES00072373_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai county,,2012-10-09,apocynaceae,,asclepias,plantae,"main wash below mesa blanco tank, north of verde valley botanical area, northeast of cottonwood.","Perennial herb, 30-40 cm tall, infrequent in wash bed.",gentianales,tracheophyta,Fruit,asclepias nyctaginifolia,nyctaginifolia,arizona,"{""lat"": 34.776139, ""lon"": -111.975833}",train,0,0,1,f6cc0736-8e4d-4b0f-af54-7d4583a33395.jpg
1,1,1,1203d182-88ed-4b0b-b379-05113d6aedd8,https://bisque.cyverse.org/image_service/image/00-uo5xk5LrSMbAdfJ5vHbzQV/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,calcasieu,,1992-06-05,cyrillaceae,,cyrilla,plantae,,,ericales,tracheophyta,,cyrilla racemiflora,racemiflora,louisiana,,train,,1,1,1203d182-88ed-4b0b-b379-05113d6aedd8.jpg
1,1,1,47c2a1a1-2930-41a2-90a0-6cba00353b22,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00075/DES00075478_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,santa cruz county,,1983-04-30,asteraceae,,senecio,plantae,"nature conservancy sonoita creek preserve, along road on west side.",Abundant.,asterales,tracheophyta,Flowering,senecio salignus,salignus,arizona,"{""lat"": 31.527396, ""lon"": -110.776394}",train,0,1,1,47c2a1a1-2930-41a2-90a0-6cba00353b22.jpg
1,1,1,2ae73adc-a40f-4080-92ec-d186886ce82c,https://swbiodiversity.org/imglib/h_seinet/seinet/Fabaceae/herbarium_sheets/ASNU_190440_M.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa,Shrub ca. 1.5 m high.  Flower purple.,1992-05-05,fabaceae,,astragalus,plantae,superstition wilderness area. massacre grounds. forest rd. 78 ca. 1 mi. to turnoff to s.,Shrub ca. 1.5 m high.  Flower purple.,fabales,tracheophyta,fruit,astragalus nuttallianus var. imperfectus,nuttallianus,arizona,"{""lat"": 33.4585, ""lon"": -111.45}",train,,1,1,2ae73adc-a40f-4080-92ec-d186886ce82c.jpg
0,1,1,d6b0af05-ad77-49db-becd-a26f804a758c,http://cdn.flmnh.ufl.edu/Herbarium/jpg/168/168567a1.jpg,preservedspecimen,magnoliopsida,south america,brazil,,,1977-11-26,icacinaceae,,casimirella,plantae,,[Label note:] Fruit separate. --[Label footing:] Plants collected under the joint sponsorship of the National Science Foundation Latin-American collaborative program and the Conselho Nacional de Desenvolvimento Científico e Tecnológico in collaboration with the Instituto Nacional de Pesquisas da Amazônia.,icacinales,tracheophyta,fruiting,casimirella ampla,ampla,pará,,train,0,0,1,d6b0af05-ad77-49db-becd-a26f804a758c.jpg
1,U,1,777972c6-b19c-4d32-834b-fbc8f1af8507,http://www.pnwherbaria.org/images/jpeg.php?Image=WTU-V-028448.jpg,preservedspecimen,magnoliopsida,north america,united states,pend oreille,,2000-07-25,campanulaceae,,downingia,plantae,rat island in the pend oreille river just north of newport. go east of newport on highway 2 over the bridge go north on county road 9350 for 1 mile. go out to rat island in the river.,,asterales,tracheophyta,flowers,downingia elegans,elegans,washington,"{""lat"": 48.198473, ""lon"": -117.04112900000001}",train,0,1,U,777972c6-b19c-4d32-834b-fbc8f1af8507.jpg
1,U,1,0410985c-f502-4ef2-a559-ffc524d0639b,https://cdn.plantatlas.org/img/specimens/USF/123249.jpg,preservedspecimen,magnoliopsida,north america,canada,,,1971-08-12,cannabaceae,,cannabis,plantae,"garden, central experimental farm, ottawa.","CULTIVATED; population number 218, plant number 2; planted June 1, 1971; mean population cannabinoid content in leaves and flowers (if available) of male plants: CBD: 0.43%, THC: 0.0%; source: Jardin Botanique de la Ville et de l 'Universite, 5, Place Blot, 14-Caen, France.",rosales,tracheophyta,Fertile,cannabis sativa,sativa,ontario prov.,,train,1,1,U,0410985c-f502-4ef2-a559-ffc524d0639b.jpg
1,U,1,8eaaa6b1-11c3-4421-add7-548396b0ef0e,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0005000/TAC05527.jpg,preservedspecimen,liliopsida,north america,united states,comanche,,2001-06-02,commelinaceae,,commelina,plantae,"lake proctor reservoir; ne side of wetland. 31° 58' 11"" n 98° 28' 37"" w","[Specimen examined for Comanche County floristic record from Lake Proctor Reservoir - A. Nelson, 2013.]; Petals lavender/blue (and smaller white - ADN)",commelinales,tracheophyta,Flowering,commelina erecta,erecta,texas,"{""lat"": 31.969722, ""lon"": -98.476944}",train,,1,U,8eaaa6b1-11c3-4421-add7-548396b0ef0e.jpg
U,U,1,841636a5-9d24-4c97-9469-e98c34533e73,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00068/DES00068644_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai county,,2008-10-22,asteraceae,,parthenium,plantae,agua fria national monument; ca. 3.5 km ne of horseshoe ranch & ca. 100 m w of indian creek.,"Shrub to 1 m tall, locally dominant only on basaltic residuum.",asterales,tracheophyta,flowers,parthenium incanum,incanum,arizona,"{""lat"": 34.2781, ""lon"": -112.04475}",val,,U,U,841636a5-9d24-4c97-9469-e98c34533e73.jpg
1,1,1,a6fa292e-594a-4944-adc5-dcd9803532bd,https://api.idigbio.org/v2/media/e68845c0b7e87043c42e7733fb02c152?size=fullsize,preservedspecimen,magnoliopsida,north america,united states,churchill,,1979-05-22,crossosomataceae,,glossopetalon,plantae,"north end of the sillwater range, cottonwood canyon near bolivia ruins.",,crossosomatales,tracheophyta,Vegetative,glossopetalon spinescens,spinescens,nevada,,val,0,1,1,a6fa292e-594a-4944-adc5-dcd9803532bd.jpg
U,U,1,a838bf72-4f9c-4f69-9f01-ff7b35d74523,https://bisque.cyverse.org/image_service/image/00-8Gs93kwG3pS8mF6T5EzuRm?resize=4000&format=jpeg,preservedspecimen,liliopsida,north america,united states,,,,araceae,,lemna,plantae,,,alismatales,tracheophyta,,lemna minor,minor,virginia,,val,,U,U,a838bf72-4f9c-4f69-9f01-ff7b35d74523.jpg
1,1,1,85930b41-73bb-46f9-ade0-70b36b296542,https://herbarium.nkn.uidaho.edu/images/jpeg.php?Image=ID040390.jpg,preservedspecimen,magnoliopsida,north america,united states,harney,,1940-05-20,ranunculaceae,,delphinium,plantae,"n of hines, or.",,ranunculales,tracheophyta,flowers and fruits,delphinium andersonii,andersonii,oregon,,val,0,1,1,85930b41-73bb-46f9-ade0-70b36b296542.jpg
U,U,1,87087d41-c646-4dea-ad28-a35492faafa1,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00064/DES00064966_lg.jpg,preservedspecimen,,north america,united states,san diego,,2007-04-25,asparagaceae,,nolina,plantae,"in-ko-pah county park, 5 miles ene of jacuma, west of interstate 8, 0.13 miles west of imperial county line. heading west into sandy wash","Common, inflorescence height ca 10 feet",asparagales,magnoliophyta,flowers,nolina bigelovii,bigelovii,california,"{""lat"": 32.65028, ""lon"": -116.10917}",val,,U,U,87087d41-c646-4dea-ad28-a35492faafa1.jpg
1,1,1,4cce4982-87c9-4f6d-8832-369ce50c88f8,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0000000/TAC00120.jpg,preservedspecimen,magnoliopsida,north america,united states,erath,,1921-09-21,asteraceae,,solidago,plantae,stephenville,,asterales,tracheophyta,flowering,solidago gigantea,gigantea,texas,,val,0,1,1,4cce4982-87c9-4f6d-8832-369ce50c88f8.jpg
1,1,1,7f2b7014-97fb-4fcf-8d9c-a1e3893dc069,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00072/DES00072374_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai county,,2012-10-09,asteraceae,,baccharis,plantae,"main wash below mesa blanco tank, north of verde valley botanical area, northeast of cottonwood.","Dioecious Shrub, 40 cm tall, male flowers creamy white, female bright white, infrequent.",asterales,tracheophyta,Flower & Fruit,baccharis brachyphylla,brachyphylla,arizona,"{""lat"": 34.780111, ""lon"": -111.974861}",val,,1,1,7f2b7014-97fb-4fcf-8d9c-a1e3893dc069.jpg
U,U,1,27811fcc-8ed8-474c-82d5-454829ade901,http://storage.idigbio.org/mor/aquatic/00022/0022238MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,lake,,1988-07-12,cyperaceae,,carex,plantae,des plaines river restoration site. in sedge meadow.,,poales,tracheophyta,Flower: N Fruit: N Vegetation: Y Bud: N,carex trichocarpa,trichocarpa,illinois,,val,,U,U,27811fcc-8ed8-474c-82d5-454829ade901.jpg
1,1,1,c69832b1-9ac2-4343-ab5d-2325c09a3fe4,https://bisque.cyverse.org/image_service/image/00-P37i4gqdBofVQdtF6M4pUY/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,leon,,,iteaceae,,itea,plantae,,,saxifragales,tracheophyta,,itea virginica,virginica,florida,,val,,1,1,c69832b1-9ac2-4343-ab5d-2325c09a3fe4.jpg
1,1,1,d1e8ff3f-c1b8-494e-8fb9-3b14cd050cee,https://botanydb.colorado.edu/COLO_V/00028/00028357.jpg,preservedspecimen,magnoliopsida,north america,united states,rio blanco,,1989-00-00,asteraceae,,agoseris,plantae,"white river national forest, marvine creek campground area.",,asterales,tracheophyta,Flr & Frt,agoseris aurantiaca,aurantiaca,colorado,"{""lat"": 40.0064742, ""lon"": -107.4346343}",val,,1,1,d1e8ff3f-c1b8-494e-8fb9-3b14cd050cee.jpg
1,0,1,b381c2cb-6ad7-4c70-85a0-325379f2e4c6,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00047/DES00047670_lg.jpg,preservedspecimen,,north america,united states,santa cruz county,,2000-09-07,portulacaceae,,talinum,plantae,"coronado national forest, ca 2 miles north of patagonia, santa rita mountains foothills, along arizona trail and fsr 72.","Locally uncommon herbaceous perennial, flowers orange.",caryophyllales,magnoliophyta,,talinum aurantiacum,aurantiacum,arizona,"{""lat"": 31.55435, ""lon"": -110.76235}",val,1,1,0,b381c2cb-6ad7-4c70-85a0-325379f2e4c6.jpg
0,0,1,6a5c27fe-9bd1-41d7-9633-90455208821b,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008304_lg.jpg,preservedspecimen,liliopsida,south america,venezuela,,"Herb 2 m tall. Leaves 40 cm x 8 cm, rich green with silvery green lines below, parallel to veins. Lvs. distychously arranged on stem. Peduncle erect. Spathes red, flowers orange with blk tips.",1974-05-24,heliconiaceae,,heliconia,plantae,parque nacional henri pittier. lower part of rancho grande-guacamaya trail.,"Herb 2 m tall. Leaves 40 cm x 8 cm, rich green with silvery green lines below, parallel to veins. Lvs. distychously arranged on stem. Peduncle erect. Spathes red, flowers orange with black tips.",zingiberales,tracheophyta,leaf,heliconia acuminata,acuminata,aragua,"{""lat"": 10.413115, ""lon"": -67.609312}",val,0,0,0,6a5c27fe-9bd1-41d7-9633-90455208821b.jpg
0,0,1,db5c54d2-7850-4318-af2c-98426c9485f9,http://storage.idigbio.org/mor/aquatic/00081/0081029MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,choctaw,,1963-07-13,potamogetonaceae,,potamogeton,plantae,"lake raymond gary st. park, s of swink, near the red river.",,alismatales,tracheophyta,Flower: N Fruit: N Vegetation: Y Bud: N,potamogeton nodosus,nodosus,oklahoma,,val,,0,0,db5c54d2-7850-4318-af2c-98426c9485f9.jpg
0,0,1,44da1261-b24d-45a3-978b-6e70fd7a1894,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00086/DES00086990_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai,,2014-03-18,cactaceae,,cylindropuntia,plantae,"grown in cultivation at desert botanical garden, phoenix, n 33 deg 27' 33'', w 111 deg 56' 35'', 1200 ft., 366 m: accession number 1991-0298-01-1; originally received as a plant collected by js and dbg staff 13 march 1991 from arizona, yavapai county, as part of the lake pleasant regional park salvage, t7n r1e section 30. in the vicinity of the given coordinates as determined by google earth, july 2016, jbw; collector's notes: ambrosia deltoidea, larrea tridentata, parkinsonia microphyllum, cylindropuntia bigelovii, ferocactus cylindraceus, lycium spp., canotia holocantha, fouquieria splendens, eriogonum sp., calliandra eriophylla, viguiera deltoidea, mammillaria grahamii, echinocereus englemannii, cylindropuntia acanthocarpa var. thornberi, cylindropuntia fulgida, cylindropuntia leptocaulis, carnegiea gigantea, ephedra sp., sphaeralcea sp., simmondsia chinensis; habitat upper sonoran.; 33.9204 -112.2996","Cactus Voucher Project. This is Sheet II/II and has the stems and the sterile fruit. Sheet I/II is DES00086989 and hs the flowers.; Plant height 75 cm, width 82 cm, shrubby growth habit; stems gray-green; spines gray or tan or golden brown, some with sheaths; flowers collected mid-day to mid-afternoon, diameter 29-47 mm, length 47-52 mm, outer perianth greenish-yellow with reddish blush at tip, inner perianth golden yellow; stigma lobe number 4-5, yellow-green; style cream; filaments magenta; anthers light yellow; fruits collected 11 January 2018 by Joni Ward, fruits are dry, tan, conical with permanent spines, diameter 13-16 mm, length 10-16 mm, all sterile.",caryophyllales,tracheophyta,Flowers.,cylindropuntia acanthocarpa,acanthocarpa,arizona,"{""lat"": 33.9204, ""lon"": -112.2996}",val,,0,0,44da1261-b24d-45a3-978b-6e70fd7a1894.jpg
1,U,1,b50f8706-2f8e-4302-97c1-00b266d86c80,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0006000/TAC06754.jpg,preservedspecimen,magnoliopsida,north america,united states,mills,,2014-08-29,asteraceae,,aster,plantae,"timberlake ranch in the bottomland forest along the texas colorado river. gps in area: 31.25725 n, 98.60069 w in nad83.",rare; Purplish rays with yellow disk florets,asterales,tracheophyta,flowering,aster subulatus var. ligulatus,subulatus,texas,"{""lat"": 31.25725, ""lon"": -98.60069}",val,,1,U,b50f8706-2f8e-4302-97c1-00b266d86c80.jpg
1,0,1,a4a7c517-5ea6-49cd-96b3-fe11fc0ed007,http://www.pnwherbaria.org/images/jpeg.php?Image=IDS0028100.jpg,preservedspecimen,magnoliopsida,north america,united states,pima,,1913-04-17,malvaceae,,sphaeralcea,plantae,university of arizona campus.,,malvales,tracheophyta,vegetative,sphaeralcea ambigua,ambigua,arizona,,val,,1,0,a4a7c517-5ea6-49cd-96b3-fe11fc0ed007.jpg
1,1,1,c0311edb-1a4f-4785-8dd5-4a2553601059,https://swbiodiversity.org/imglib/h_seinet/seinet/Saururaceae/herb_sheets/ANCA_119407_M.jpg,preservedspecimen,magnoliopsida,north america,united states,graham county,,1969-10-28,saururaceae,,anemopsis,plantae,2 mi north of bylas at 3 small salt springs,,piperales,tracheophyta,flowers & fruit,anemopsis californica,californica,arizona,"{""lat"": 33.18, ""lon"": -110.17}",val,,1,1,c0311edb-1a4f-4785-8dd5-4a2553601059.jpg
0,1,1,2186a20d-839a-4e1d-acc2-b3c6cea9a732,http://storage.idigbio.org/mor/aquatic/00037/0037379MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,racine,,1968-08-11,hydrocharitaceae,,najas,plantae,"booklet 90, stop f: wind lake (lake)",,alismatales,tracheophyta,Flower: N Fruit: N Vegetation: Y Bud: N,najas marina,marina,wisconsin,,val,,0,1,2186a20d-839a-4e1d-acc2-b3c6cea9a732.jpg
1,1,1,b350abcb-0200-4f19-9fa6-366255094ef7,https://bisque.cyverse.org/image_service/image/00-Pq7irkQtvwgMwutfy4AYjm/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,mcminn,,1989-06-03,violaceae,,viola,plantae,mcminn,,malpighiales,tracheophyta,,viola primulifolia,primulifolia,tennessee,,val,,1,1,b350abcb-0200-4f19-9fa6-366255094ef7.jpg
1,U,1,b3162b9d-fda8-4291-a064-95dfaa85ff12,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00062/DES00062668_lg.jpg,preservedspecimen,,north america,united states,maricopa,,2006-05-08,portulacaceae,,calandrinia,plantae,"new river: tonto national forest. forest service road 24, 1.6km north of junction with sears-kay ranch road.",Succulent 0.06m tall. Light & dark pink flowers.,caryophyllales,magnoliophyta,flowers,calandrinia ciliata,ciliata,arizona,"{""lat"": 33.8816, ""lon"": -112.0743}",val,,1,U,b3162b9d-fda8-4291-a064-95dfaa85ff12.jpg
1,0,1,543d9b1d-8df8-4afe-9a80-1addbc76b8b0,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00078/DES00078903_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa,,2016-03-25,fabaceae,,prosopis,plantae,"south mountain area, south of the park bourdary. 1170m e-se of the helicopter pad.","One plant in spring, 8m tall.",fabales,tracheophyta,Flowers,prosopis glandulosa subsp. torreyana,glandulosa,arizona,"{""lat"": 33.318306, ""lon"": -112.036893}",val,,1,0,543d9b1d-8df8-4afe-9a80-1addbc76b8b0.jpg
0,0,1,f0d95c38-0f74-44cc-b623-ba45c968d6fe,https://botanydb.colorado.edu/COLO_V/00883/00883447.jpg,preservedspecimen,magnoliopsida,north america,united states,el paso,,2006-09-04,rosaceae,,sorbus,plantae,"ruxton creek, engelman canyon, town of manitou springs.",Native Sorbus scopulina here with shiny leaves and non-glaucous fruit. Sheet 2 of 2.,rosales,tracheophyta,Veg,sorbus aucuparia,aucuparia,colorado,"{""lat"": 38.85333, ""lon"": -104.935}",val,,0,0,f0d95c38-0f74-44cc-b623-ba45c968d6fe.jpg
0,F,1,ce28ede2-aeee-4177-abc8-b91ec4efe4ea,https://bisque.cyverse.org/image_service/image/00-WjnK89kN2zwdUjzPoid8kR/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,jefferson,,1980-09-23,urticaceae,,boehmeria,plantae,,,rosales,tracheophyta,,boehmeria cylindrica,cylindrica,louisiana,,val,,0,1,ce28ede2-aeee-4177-abc8-b91ec4efe4ea.jpg
1,1,1,ab3992f5-9c6a-4f69-aab3-1272929e4e75,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00074/DES00074473_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai county,,2011-04-04,brassicaceae,,draba,plantae,grapevine canyon approx 4 miles n.w. of mayer. 0.54 miles up canyon from trail 4 trailhead on fr87a.,"Annual, 13 - 18 cm, white flowers, locally frequent",brassicales,tracheophyta,Flower and fruit,draba cuneifolia var. cuneifolia,cuneifolia,arizona,"{""lat"": 34.42325, ""lon"": -112.311972}",val,,1,1,ab3992f5-9c6a-4f69-aab3-1272929e4e75.jpg
1,1,1,9ad622ca-273d-4a5f-9010-978e488e2df8,http://data.huh.harvard.edu/bdbc2827-5e3d-4348-b179-700f61226e07/image,preservedspecimen,magnoliopsida,oceania,new caledonia,,"{""huh_taxonomic_group"": ""Vascular"", ""huh_project_id"": null, ""huh_project_name"": null}",1861/1867,solanaceae,,solanum,plantae,new caledonia: poïta.,,solanales,tracheophyta,FlowerAndFruit,solanum pancheri guillaumin,pancheri,,,val,,1,1,9ad622ca-273d-4a5f-9010-978e488e2df8.jpg
1,1,1,98b2d5db-89b7-4b37-9c70-188f26255d3b,https://botanydb.colorado.edu/COLO_V/00877/00877852.jpg,preservedspecimen,magnoliopsida,north america,united states,routt,,2001-06-28,linaceae,,linum,plantae,"north-central colorado: elkhead mountains: along salt creek and county road 46, ca 1.5 air mi n of rattlesnake butte, ca 9 air mile sw of clark; ca 12 air mi nw of steamboat springs.",Originally ID'd as Linum lewisii Pursh var. lewisii.,malpighiales,tracheophyta,Flr & Frt,adenolinum lewisii,lewisii,colorado,"{""lat"": 40.59175, ""lon"": -107.00325}",val,1,1,1,98b2d5db-89b7-4b37-9c70-188f26255d3b.jpg
1,0,1,ac38dca9-0dbb-4ac2-be60-4d6fb597a2da,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0002000/TAC02442.jpg,preservedspecimen,liliopsida,north america,united states,comanche,,2013-04-27,melanthiaceae,,zygadenus,plantae,"hillside n of kiamich river near albion, ok. 34.65146° n, 95.06718° w",scattered,liliales,tracheophyta,flowering,zigadenus nuttallii,nuttallii,oklahoma,"{""lat"": 34.65146, ""lon"": -95.06718}",val,0,1,0,ac38dca9-0dbb-4ac2-be60-4d6fb597a2da.jpg
0,1,1,417c6841-4574-4d1f-bc4a-70e211d72c58,https://bisque.cyverse.org/image_service/00-LQeZWUH2wjfeyxoq5RsdgX,preservedspecimen,magnoliopsida,north america,united states,,,,rubiaceae,,houstonia,plantae,,,gentianales,tracheophyta,,houstonia longifolia,longifolia,vermont,"{""lat"": 43.61718, ""lon"": -73.26661}",val,,0,1,417c6841-4574-4d1f-bc4a-70e211d72c58.jpg
